kind,tier,text
truth,Easy,"What's a small thing your partner does that always turns you on?"
truth,Easy,"Describe your ideal date night, start to finish."
dare,Easy,"Give your partner a 30-second shoulder massage."
dare,Easy,"Whisper something you love about your partner in their ear."
truth,Medium,"What's one thing you've always wanted to try together?"
dare,Medium,"Give your partner a slow massage for two minutes, anywhere you choose."
truth,Hard,"What's a fantasy you've never told your partner?"
dare,Hard,"Try a new position together and tell each other how it felt."
truth,Extreme,"Is there something you'd like to try that involves being in control, or giving it up?"
dare,Extreme,"Pick a position or role from your 'Extreme' list and try it together."
