tier,text
Easy,Giving each other a slow massage
Easy,Taking a bath or shower together
Easy,Reading a spicy story out loud to each other
Easy,Feeding each other dessert
Easy,Slow dancing with the lights low
Easy,Writing each other a note about what you find attractive
Easy,Cuddling skin-to-skin with no phones
Easy,Cooking a meal together then eating in bed
Easy,Whispering a compliment in each other's ear
Easy,Making a playlist for a slow night in
Easy,Napping tangled up together
Easy,Trying a new cuddle position
Medium,Using a blindfold
Medium,Trying a new position together
Medium,Watching something spicy together
Medium,Talking dirty during sex
Medium,Using a toy together
Medium,Roleplaying a first date with strangers
Medium,Sending a flirty text mid-day
Medium,Trying temperature play with ice or warm oil
Medium,Leaving the lights on
Medium,Trying a new room in the house
Medium,Giving a slow striptease
Medium,Taking a sexy photo for just the two of you
Hard,Trying light bondage with wrist ties
Hard,Using a spanking paddle
Hard,Roleplaying a power-dynamic scene
Hard,Trying edging
Hard,Watching your partner touch themselves
Hard,Trying food play
Hard,Being tied to the bed
Hard,Roleplaying a stranger encounter
Hard,Trying anal play
Hard,Recording a private video for just the two of you
Hard,Giving detailed instructions during sex
Hard,Trying a low-risk semi-public dare
Extreme,A full roleplay scene with costumes
Extreme,Trying impact play with an implement
Extreme,Being blindfolded and restrained
Extreme,Trying a new toy neither of you has used
Extreme,Exploring a taboo fantasy roleplay
Extreme,Trying rough sex
Extreme,Trying a power-exchange scene for the night
Extreme,Trying anal sex
Extreme,Trying extended edging or overstimulation
Extreme,Exploring a semi-public location dare
Extreme,Trying sensory deprivation with a blindfold and earplugs
Extreme,Discussing a fantasy involving a third person
