tier,text
Easy,Compliment your partner's eyes
Easy,Give a 10-second hug
Easy,Hold hands for the rest of this turn
Easy,Whisper something sweet in their ear
Easy,Kiss their forehead
Easy,Give a shoulder squeeze
Easy,Say your favorite thing about them
Easy,Make them laugh in 10 seconds
Easy,Trace a heart on their palm
Easy,Give a gentle back scratch
Easy,Share a happy memory together
Easy,Kiss their cheek
Easy,Compliment their smile
Easy,Hold eye contact for 15 seconds
Easy,Give a playful wink and see their reaction
Easy,Rest your head on their shoulder
Easy,Give a slow forehead kiss
Easy,Say "I love that you..." and finish the sentence
Easy,Give a gentle hand massage
Easy,Kiss the back of their hand
Medium,Kiss them on the lips
Medium,Whisper something flirty in their ear
Medium,Give a slow neck kiss
Medium,Bite your lip and hold eye contact for 5 seconds
Medium,Trace your finger along their jawline
Medium,Give a lingering hug, hands wandering a little
Medium,Describe what you want to do to them later
Medium,Kiss along their collarbone
Medium,Pull them close and hold for 10 seconds
Medium,Give a slow, teasing kiss
Medium,Whisper your favorite thing about their body
Medium,Nibble their earlobe
Medium,Leave a love bite on their neck
Medium,Trace a line down their spine
Medium,Kiss them like it's the first time
Medium,Give a slow massage to their thighs
Medium,Sit in their lap for 10 seconds
Medium,Kiss down to their collarbone
Medium,Whisper what you're thinking about right now
Medium,Give a deep, slow kiss
Hard,Remove one item of your partner's clothing
Hard,Give a slow striptease for 20 seconds
Hard,Kiss down their body to their waistband
Hard,Let them touch you anywhere for 15 seconds
Hard,Tease them through their clothing for 20 seconds
Hard,Remove one item of your own clothing
Hard,Give a slow lap dance for 20 seconds
Hard,Let your partner blindfold you for this round
Hard,Touch yourself for 10 seconds while they watch
Hard,Give a slow, teasing massage below the belt
Hard,Let them leave a mark on your neck
Hard,Whisper a fantasy you want to try tonight
Hard,Give oral attention for 30 seconds
Hard,Remove your partner's top
Hard,Let your partner restrain your hands for this round
Hard,Tease them with your mouth, no touching, for 20 seconds
Hard,Trade one piece of clothing with each other
Hard,Let them spank you lightly
Hard,Give a slow, sensual dance together
Hard,Whisper exactly what you want them to do next
Extreme,Remove all remaining clothing
Extreme,Go down on your partner for one minute
Extreme,Let your partner do anything they want for 30 seconds
Extreme,Have sex in a new position of their choice
Extreme,Let them tie your hands for the rest of the game
Extreme,Give in to whatever they ask for next
Extreme,Try a new toy together right now
Extreme,Let them choose where to touch you next
Extreme,Give oral until they say stop
Extreme,Act out a fantasy of their choice
Extreme,Let them blindfold and tease you for a full minute
Extreme,Switch positions of power for this round
Extreme,Have sex somewhere new in the house
Extreme,Edge your partner for 30 seconds
Extreme,Do whatever they whisper in your ear
Extreme,Try a position you've never done before
Extreme,Let them finish first
Extreme,Give them full control for the next 5 minutes
Extreme,Whisper your dirtiest thought right now
Extreme,Finish what you started, right here
