tier,text
Easy,Ear
Easy,Neck
Easy,Collarbone
Easy,Shoulder
Easy,Wrist
Easy,Lips
Easy,Cheek
Easy,Hairline
Medium,Nape of the Neck
Medium,Chest
Medium,Lower Back
Medium,Hips
Medium,Inner Arm
Medium,Inner Wrist
Medium,Jawline
Medium,Belly
Hard,Inner Thigh
Hard,Stomach
Hard,Nipples
Hard,Hip Bones
Hard,Lower Belly
Hard,Behind the Knee
Hard,Ribs
Hard,Throat
Extreme,Inner Thighs
Extreme,Nipples
Extreme,Lower Stomach
Extreme,Hip Crease
Extreme,Between the Legs
Extreme,Backside
Extreme,Behind the Ear
Extreme,Anywhere They Choose
